Monat,Ente
2010-01,14
2010-02,11
2010-03,13
2010-04,12
2010-05,12
2010-06,12
2010-07,12
2010-08,10
2010-09,12
2010-10,15
2010-11,21
2010-12,44
2011-01,14
2011-02,16
2011-03,14
2011-04,17
2011-05,14
2011-06,13
2011-07,14
2011-08,13
2011-09,15
2011-10,19
2011-11,22
2011-12,52
2012-01,19
2012-02,17
2012-03,16
2012-04,14
2012-05,13
2012-06,18
2012-07,14
2012-08,14
2012-09,19
2012-10,19
2012-11,27
2012-12,64
2013-01,18
2013-02,16
2013-03,19
2013-04,17
2013-05,17
2013-06,16
2013-07,14
2013-08,16
2013-09,16
2013-10,21
2013-11,25
2013-12,63
2014-01,22
2014-02,18
2014-03,16
2014-04,20
2014-05,15
2014-06,15
2014-07,16
2014-08,15
2014-09,16
2014-10,20
2014-11,27
2014-12,63
2015-01,21
2015-02,17
2015-03,19
2015-04,18
2015-05,19
2015-06,16
2015-07,14
2015-08,15
2015-09,16
2015-10,22
2015-11,28
2015-12,67
2016-01,20
2016-02,18
2016-03,20
2016-04,19
2016-05,17
2016-06,18
2016-07,16
2016-08,17
2016-09,20
2016-10,23
2016-11,30
2016-12,74
2017-01,24
2017-02,22
2017-03,18
2017-04,21
2017-05,17
2017-06,18
2017-07,16
2017-08,17
2017-09,18
2017-10,22
2017-11,34
2017-12,81
2018-01,21
2018-02,20
2018-03,23
2018-04,19
2018-05,20
2018-06,18
2018-07,17
2018-08,17
2018-09,18
2018-10,27
2018-11,35
2018-12,86
2019-01,22
2019-02,22
2019-03,20
2019-04,22
2019-05,18
2019-06,18
2019-07,18
2019-08,16
2019-09,19
2019-10,25
2019-11,30
2019-12,81
2020-01,22
2020-02,21
2020-03,20
2020-04,28
2020-05,27
2020-06,21
2020-07,21
2020-08,20
2020-09,21
2020-10,28
2020-11,39
2020-12,100
2021-01,28
2021-02,23
2021-03,24
2021-04,27
2021-05,21
2021-06,19
