filename	blog	year	country	no_of_token	no_of_sentences	median_sentence_length	n_ratio	v_ratio	unknown_ratio
bakingwithmarianne_01.txt	bakingwithmarianne	2016	Deutschland	1172	64	14.0	0.2588134135855546	0.14531384350816853	0.05760963026655202
bakingwithmarianne_02.txt	bakingwithmarianne	2016	Deutschland	1328	83	12.0	0.2441243366186505	0.155420773313116	0.09097801364670205
bakingwithmarianne_03.txt	bakingwithmarianne	2016	Deutschland	992	61	14.0	0.2505050505050505	0.15252525252525254	0.06565656565656566
bakingwithmarianne_04.txt	bakingwithmarianne	2016	Deutschland	1362	75	16.0	0.22549742078113486	0.16138540899042003	0.07148120854826824
bakingwithmarianne_05.txt	bakingwithmarianne	2016	Deutschland	1584	92	15.0	0.233502538071066	0.16053299492385786	0.061548223350253804
bakingwithmarianne_06.txt	bakingwithmarianne	2016	Deutschland	1162	60	16.5	0.21175453759723423	0.16248919619706137	0.052722558340535866
bakingwithmarianne_07.txt	bakingwithmarianne	2016	Deutschland	1036	49	19.0	0.2058252427184466	0.1436893203883495	0.06796116504854369
bakingwithmarianne_08.txt	bakingwithmarianne	2016	Deutschland	1398	75	16.0	0.22063037249283668	0.14828080229226362	0.05300859598853868
bakingwithmarianne_09.txt	bakingwithmarianne	2016	Deutschland	1101	54	19.0	0.21846435100548445	0.13528336380255943	0.043875685557586835
bakingwithmarianne_10.txt	bakingwithmarianne	2016	Deutschland	899	50	14.5	0.2329988851727982	0.1426978818283166	0.06243032329988852
blog_tuschel_01.txt	blog_tuschel	2014	Deutschland	449	22	12.5	0.2751677852348993	0.116331096196868	0.07606263982102908
blog_tuschel_02.txt	blog_tuschel	2014	Deutschland	160	8	15.0	0.325	0.1125	0.1125
blog_tuschel_03.txt	blog_tuschel	2014	Deutschland	323	18	15.5	0.27414330218068533	0.10903426791277258	0.11526479750778816
blog_tuschel_04.txt	blog_tuschel	2013	Deutschland	215	12	15.5	0.2897196261682243	0.11214953271028037	0.037383177570093455
blog_tuschel_05.txt	blog_tuschel	2013	Deutschland	219	16	9.5	0.2706422018348624	0.12385321100917432	0.07339449541284404
blog_tuschel_06.txt	blog_tuschel	2013	Deutschland	323	17	19.0	0.2515527950310559	0.13354037267080746	0.09316770186335403
blog_tuschel_07.txt	blog_tuschel	2013	Deutschland	442	23	17.0	0.27828054298642535	0.12217194570135746	0.08144796380090498
blog_tuschel_08.txt	blog_tuschel	2012	Deutschland	265	14	14.0	0.2727272727272727	0.11742424242424243	0.0946969696969697
blog_tuschel_09.txt	blog_tuschel	2012	Deutschland	274	13	17.0	0.2600732600732601	0.11721611721611722	0.054945054945054944
blog_tuschel_10.txt	blog_tuschel	2012	Deutschland	420	21	15.0	0.2589073634204275	0.10926365795724466	0.08076009501187649
cathaskueche_01.txt	cathaskueche	2013	Österreich	959	41	19.0	0.2615062761506276	0.13284518828451883	0.08682008368200837
